"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","V1","C","","01:00:00:00","01:00:00:01","00:00:00:01","01:00:00:00","01:00:00:01","Entire Video","","","","","","0.000","","Blue","1","",""
"2","","","","C","","01:00:05:19","01:00:05:20","00:00:00:01","01:00:05:19","01:00:05:20","","","","","","","0.000","","Blue","2","",""
"3","","","","C","","01:00:15:19","01:00:15:20","00:00:00:01","01:00:15:19","01:00:15:20","","","","","","","0.000","","Blue","3","",""
"4","","","","C","","01:00:18:08","01:00:18:09","00:00:00:01","01:00:18:08","01:00:18:09","","","","","","","0.000","","Blue","4","",""
"5","","","","C","","01:00:22:10","01:00:22:11","00:00:00:01","01:00:22:10","01:00:22:11","","","","","","","0.000","","Blue","5","",""
"6","","","","C","","01:00:33:29","01:00:34:00","00:00:00:01","01:00:33:29","01:00:34:00","","","","","","","0.000","","Blue","6","",""
"7","","","","C","","01:00:43:04","01:00:43:05","00:00:00:01","01:00:43:04","01:00:43:05","","","","","","","0.000","","Blue","7","",""
"8","","","","C","","01:00:50:20","01:00:50:21","00:00:00:01","01:00:50:20","01:00:50:21","","","","","","","0.000","","Blue","8","",""
"9","","","","C","","01:00:56:19","01:00:56:20","00:00:00:01","01:00:56:19","01:00:56:20","","","","","","","0.000","","Blue","8aa","",""
"10","","","","C","","01:01:04:03","01:01:04:04","00:00:00:01","01:01:04:03","01:01:04:04","","","","","","","0.000","","Blue","8ab","",""
"11","","","","C","","01:01:07:22","01:01:07:23","00:00:00:01","01:01:07:22","01:01:07:23","","","","","","","0.000","","Blue","8b","",""
"12","","","","C","","01:01:09:26","01:01:09:27","00:00:00:01","01:01:09:26","01:01:09:27","","","","","","","0.000","","Blue","9","",""
"13","","","","C","","01:01:16:05","01:01:16:06","00:00:00:01","01:01:16:05","01:01:16:06","","","","","","","0.000","","Blue","9a","",""
"14","","","","C","","01:01:21:16","01:01:21:17","00:00:00:01","01:01:21:16","01:01:21:17","","","","","","","0.000","","Blue","10","",""
"15","","","","C","","01:01:26:18","01:01:26:19","00:00:00:01","01:01:26:18","01:01:26:19","","","","","","","0.000","","Blue","12","",""
"16","","","","C","","01:01:28:22","01:01:28:23","00:00:00:01","01:01:28:22","01:01:28:23","","","","","","","0.000","","Blue","13","",""
"17","","","","C","","01:01:39:16","01:01:39:17","00:00:00:01","01:01:39:16","01:01:39:17","","","","","","","0.000","","Blue","14","",""
"18","","","","C","","01:01:45:19","01:01:45:20","00:00:00:01","01:01:45:19","01:01:45:20","","","","","","","0.000","","Blue","15","",""
