"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","V1","C","","00:00:02:13","00:00:13:21","00:00:11:08","01:00:00:00","01:00:11:08","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","1920x1080","","","",""
"2","","","A1","C","","00:00:02:13","00:00:13:21","00:00:11:08","01:00:00:00","01:00:11:08","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","","","","",""
"3","","","V1","C","","00:00:19:20","00:00:31:10","00:00:11:20","01:00:11:08","01:00:22:28","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","1920x1080","","","",""
"4","","","A1","C","","00:00:19:20","00:00:31:10","00:00:11:20","01:00:11:08","01:00:22:28","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","","","","",""
"5","","","V1","C","","00:00:50:00","00:00:55:25","00:00:05:25","01:00:22:28","01:00:28:23","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","1920x1080","","","",""
"6","","","A1","C","","00:00:50:00","00:00:55:25","00:00:05:25","01:00:22:28","01:00:28:23","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","","","","",""
"7","","","V1","C","","00:00:18:09","00:00:45:08","00:00:26:29","01:00:28:23","01:00:55:22","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","1920x1080","","","",""
"8","","","A1","C","","00:00:18:09","00:00:45:08","00:00:26:29","01:00:28:23","01:00:55:22","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","","","","",""
"9","","","V1","C","","00:01:17:10","00:01:25:01","00:00:07:21","01:00:55:22","01:01:03:13","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","1920x1080","","","",""
"10","","","A1","C","","00:01:17:10","00:01:25:01","00:00:07:21","01:00:55:22","01:01:03:13","1- Beginning","","00:00:00:00","00:01:40:11","00:01:40:11","H.264","30.000","","","","",""
"11","","","V1","C","","00:00:08:00","00:00:14:10","00:00:06:10","01:01:03:13","01:01:09:23","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","1920x1080","","","",""
"12","","","A1","C","","00:00:08:00","00:00:14:10","00:00:06:10","01:01:03:13","01:01:09:23","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","","","","",""
"13","","","V1","C","","00:00:35:17","00:00:50:03","00:00:14:16","01:01:09:23","01:01:24:09","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","1920x1080","","","",""
"14","","","A1","C","","00:00:35:17","00:00:50:03","00:00:14:16","01:01:09:23","01:01:24:09","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","","","","",""
"15","","","V1","C","","00:01:18:19","00:01:33:09","00:00:14:20","01:01:24:09","01:01:38:29","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","1920x1080","","","",""
"16","","","A1","C","","00:01:18:19","00:01:33:09","00:00:14:20","01:01:24:09","01:01:38:29","2- Serpent","","00:00:00:00","00:01:35:17","00:01:35:17","H.264","30.000","","","","",""
